,name,birthday,birth_location,grade,no_opinions,awards_str,known_for,best_roles,newest_productions,ranking,awards,nominations,Country_of_birth,City_of_birth,won_oscar
55,Marcin Dorociński,22 czerwca 1973,"Milanówek, Polska",8.3,62519,"Zdobył Złota Kaczka, 4 inne nagrody i 16 nominacji","Róża, PitBull, Rewers, Ogród Luizy, Jack Strong, Biały Potok, Boisko bezdomnych, Moje córki krowy, ","Podkomisarz Sławomir Desperski ""Despero"", Tadeusz, Andrzej, Fabian ""Fabio"" Sawicki, Podkomisarz Sławomir Desperski ""Despero"", Vasily Borgov, Sławomir Desperski ""Despero"", Pułkownik Ryszard Kukliński, Tomek Niedzielski, Igor Ladpolny, ","Niebezpieczni dżentelmeni, Czarny młyn, Teściowie, Erynie, Psy 3. W imię zasad, Gambit królowej, Magic Mountains, Biały Potok, Ciemno, prawie noc, Jaś i Małgosia - rodzeństwo, które przeżyło!, Plan B, Zabawa zabawa, 303. Bitwa o Anglię, Pitbull. Ostatni pies, 7 uczuć, Małżeńskie porachunki, Na granicy, Pakt, Operacja Anthropoid, Cape Town, Moje córki krowy, Schandfleck - Der Usedom-Krimi, Pod Mocnym Aniołem, Jack Strong, Serce, Serduszko, ",144,5,16, Polska,Milanówek,0
56,James McAvoy,21 kwietnia 1979,"Glasgow, Szkocja, Wielka Brytania",8.7,63749,"Zdobył BAFTA, 1 inna nagroda i 14 nominacji","Brud, Pokuta, Split, Ostatni król Szkocji, Wanted. Ścigani, X-Men: Pierwsza klasa, X-Men: Apokalipsa, X-Men: Mroczna Phoenix, ","Dennis / Patricia / Hedwig / Bestia / Kevin Wendell Crumb / Barry / Orwell / Jade, Bruce Robertson, Patricia / Dennis / Hedwig / Bestia / Barry / Heinrich / Jade / Ian / Mary Reynolds / Norma / Jalin / Kat / B.T. / Kevin Wendell Crumb / Pan Pritchard / Felida / Luke / Goddard / Samuel / Polly, Robbie Turner, Tom Lefroy, Rory O'Shea, David Percival, ","Bańka, Together, Mój syn, Mroczne materie, X-Men: Mroczna Phoenix, Glass, To: Rozdział 2, Deadpool 2, Zanurzeni, Atomic Blonde, X-Men: Apocalypse, Split, Victor Frankenstein, X-Men: Przeszłość, która nadejdzie, Muppety: Poza prawem, Zniknięcie Eleanor Rigby: Oni, Czas zapłaty, Trans, Brud, Zniknięcie Eleanor Rigby: On, Zniknięcie Eleanor Rigby: Ona, X-Men: Pierwsza klasa, Spisek, Ostatnia stacja, Wanted - Ścigani, ",32,2,14, Wielka Brytania,Glasgow,0
57,Denzel Washington,28 grudnia 1954,"Mount Vernon, Nowy Jork, USA",8.6,63337,"Zdobył 2 nagrody Oscar, 22 inne nagrody i 75 nominacji","Dzień próby, Lot, Płoty, Huragan, Malcolm X, Sława, Tytani - niezapomniana drużyna, Historia Antwona Fishera, ","Alonzo, John W. Creasy, Frank Lucas, Whip Whitaker, Rubin Carter, John Quincy Archibald, Joe Miller, Troy Maxson, Malcolm X, Robert McCall, ","The Equalizer 3, Tragedia Makbeta, Małe rzeczy, Bez litości 2, Roman J. Israel, Siedmiu wspaniałych, Płoty, Chasing Trane: Historia Johna Coltrane'a, Bez litości, Agenci, Safe House, Lot, Księga ocalenia, Niepowstrzymany, Metro strachu, American Gangster, Klub dyskusyjny, Plan doskonały, Deja Vu, Kandydat, Człowiek w ogniu, Wyścig z czasem, John Q., Antwone Fisher, Dzień próby, ",58,24,75, USA,Mount Vernon,1
58,Emma Watson,15 kwietnia 1990,"Paryż, Francja",8.3,62943,"Zdobyła 8 nagród Teen Choice, 26 nominacji","Harry Potter i Insygnia Śmierci, cz.2, Harry Potter i Insygnia Śmierci: Część I, Piękna i Bestia, Charlie, The Circle. Krąg, Harry Potter i Książę Półkrwi, Harry Potter i Kamień Filozoficzny, Harry Potter i Czara Ognia, ","Sam, Pauline Fossil, ","Małe kobietki, Piękna i Bestia, The Circle. Krąg, Regression, Colonia, Noe: Wybrany przez Boga, Bling Ring, To już jest koniec, Charlie, Harry Potter i Insygnia Śmierci: Część II, Mój tydzień z Marilyn, Harry Potter i Insygnia Śmierci: Część I, Harry Potter and the Forbidden Journey, Harry Potter i Książę Półkrwi, Harry Potter i Zakon Feniksa, Zaczarowane baletki, Harry Potter i Czara Ognia, Harry Potter i więzień Azkabanu, Harry Potter i Komnata Tajemnic, Harry Potter i Kamień Filozoficzny, ",32,9,26, Francja,Paryż,0
59,Tom Hiddleston,9 lutego 1981,"Londyn, Anglia, Wielka Brytania",8.5,62612,"Zdobył Złoty Glob, 5 innych nagród i 13 nominacji","Avengers 3D, Loki, Nocny recepcjonista, Thor, Thor: Mroczny świat, Thor: Ragnarok, Kong: Wyspa Czaszki, High-Rise, ","Adam, Jonathan Pine, Thomas Sharpe, ","The Essex Serpent, Loki, Avengers: Koniec gry, Avengers: Wojna bez granic, Leading Lady Parts, Kong: Wyspa Czaszki, Thor: Ragnarok, Nocny recepcjonista, Crimson Peak. Wzgórze krwi, High-Rise, I Saw The Light. Historia Hanka Williamsa, Avengers: Czas Ultrona, Muppety: Poza prawem, Thor: Mroczny świat, Tylko kochankowie przeżyją, Exhibition, Out of Darkness, Avengers, Friend Request Pending, The Hollow Crown, Out of Time, Thor, O północy w Paryżu, Czas wojny, Głębokie błękitne morze, ",50,6,13, Wielka Brytania,Londyn,0
60,Colin Firth,10 września 1960,"Grayshott, Anglia, Wielka Brytania",8.5,62527,"Zdobył Oscar, 19 innych nagród i 17 nominacji","Jak zostać królem, Samotny mężczyzna, Dziennik Bridget Jones, Zakochany Szekspir, Dziewczyna z perłą, Angielski pacjent, Duma i uprzedzenie, Ostateczne rozwiązanie, ","Fitzwilliam Darcy, Król Jerzy VI, Profesor George Falconer, Harry Hart / Galahad, Mark Darcy, Mark Darcy, Sam, Eric Lomax, Pan Whittaker, Mark Darcy, ","Schody, Mothering Sunday, Operation Mincemeat, Tajemniczy ogród, Supernova, 1917, Szczęśliwy książę, Na głęboką wodę, Kursk, Mary Poppins powraca, Mamma Mia! Here We Go Again, Kingsman: Złoty Krąg, Red Nose Day Actually, Bridget Jones 3, Geniusz, Zanim zasnę, Kingsman: Tajne służby, Magia w blasku księżyca, Droga do zapomnienia, Diabelska przełęcz, Gambit, czyli jak ograć króla, Drugie życie króla, Szpieg, Główna ulica, Jak zostać królem, ",69,20,17, Wielka Brytania,Grayshott,1
61,Ian McKellen,25 maja 1939,"Burnley, Anglia, Wielka Brytania",8.8,61658,"Zdobył Złoty Glob, 14 innych nagród i 31 nominacji","Władca Pierścieni: Drużyna Pierścienia, Władca Pierścieni: Powrót króla, Uczeń szatana, Bogowie i potwory, Rasputin, Władca Pierścieni: Dwie wieże, Ryszard III, Hobbit: Tam i z powrotem, ","Sherlock Holmes, ","The Curse of The Buxom Strumpet, Infinitum: Subject Unknown, Koty, Kłamstwo doskonałe, Cała prawda o Szekspirze, Piękna i Bestia, Edmund the Magnificent, The Roof, Pan Holmes, Garderobiany, Miss in Her Teens, Hobbit: Bitwa Pięciu Armii, X-Men: Przeszłość, która nadejdzie, Hobbit: Pustkowie Smauga, Vicious, Wolverine, The Egg Trick, The Five(ish) Doctors Reboot, Hobbit: Niezwykła podróż, Uwięziony, King Lear, For the Love of God, X-Men: Ostatni bastion, Kod da Vinci, Obłąkana miłość, ",16,15,31, Wielka Brytania,Burnley,0
62,Russell Crowe,7 kwietnia 1964,"Wellington, Nowa Zelandia",8.6,61988,"Zdobył Oscar, 15 innych nagród i 49 nominacji","Informator, Nędznicy, Nice Guys. Równi goście, Człowiek ringu, Stan gry, Romper Stomper, Na cały głos, Amerykański gangster, ","John Forbes Nash Jr., Maximus, Jim Braddock, Jake Davis, Roger Ailes, Hando, Bud White, Ben Wade, Jeffrey Wigand, John Brennan, ","Kraven the Hunter, Land of Bad, Rothko, Thor: Miłość i grom, Poker Face, The Georgetown Project, Nieobliczalny, Prawdziwa historia gangu Kelly'ego, Na cały głos, Wymazać siebie, Mumia, Machina wojenna, Nice Guys. Równi goście, Ojcowie i córki, Noe: Wybrany przez Boga, Zimowa opowieść, Źródło nadziei, Człowiek ze stali, Władza, Człowiek o żelaznych pięściach, Les Misérables: Nędznicy, Robin Hood, Dla niej wszystko, Piętno przeszłości, Stan gry, ",56,16,49, Nowa Zelandia,Wellington,1
63,Michael Fassbender,2 kwietnia 1977,"Heidelberg, RFN , (obecnie Niemcy)",8.1,61819,"Zdobył Aktor, 16 innych nagród i 44 nominacje","Wstyd, Bękarty wojny, Zniewolony. 12 Years a Slave, X-Men: Pierwsza klasa, Steve Jobs, Głód, Niebezpieczna metoda, Jane Eyre, ","Brandon Sullivan, Bobby Sands, Edwin Epps, Makbet, Frank, Rochester, Cook, ","Kung Fury II: The Movie, Next Goal Wins, The Killer, X-Men: Mroczna Phoenix, Obcy: Przymierze, Song to Song, Pierwszy śnieg, Alien: Covenant - Prologue: The Crossing, Assassin's Creed, X-Men: Apocalypse, Światło między oceanami, Wbrew rodzinie, Makbet, Slow West, Steve Jobs, X-Men: Przeszłość, która nadejdzie, Frank, Zniewolony. 12 Years a Slave, Adwokat, Prometeusz, The Peter Weyland Files: Happy Birthday, David, Jane Eyre, Ścigana, Niebezpieczna metoda, X-Men: Pierwsza klasa, ",204,17,44, (obecnie Niemcy),Heidelberg,0
64,Nicole Kidman,20 czerwca 1967,"Honolulu, Hawaje, USA",8.2,61165,"Zdobyła Oscar, 27 innych nagród i 89 nominacji","Godziny, Moulin Rouge!, Wielkie kłamstewka, Inni, Lion. Droga do domu, Nine - Dziewięć, Wymazać siebie, Za wszelką cenę, ","Virginia Woolf, Erin Bell, Celeste Wright, Grace Margaret Mulligan, Satine, Grace Stewart, Suzanne Stone Maretto, Gretchen Carlson, Panna Martha, Charlotte Bless, ","Aquaman and the Lost Kingdom, Wiking, Ryk, Dziewięcioro nieznajomych, Being the Ricardos, Od nowa, Bal, Wielkie kłamstewka, Szczygieł, Gorący temat, Aquaman, Wymazać siebie, Niszczycielka, Jak rozmawiać z dziewczynami na prywatkach?, Na pokuszenie, Tajemnice Laketop, Zabicie świętego jelenia, Spragnieni życia, Great Performers: Horror Show, Geniusz, Lion. Droga do domu, Królowa pustyni, Na skraju klifu, Rodzina Fangów, Sekret w ich oczach, ",51,28,89, USA,Honolulu,1
65,Quentin Tarantino,27 marca 1963,"Knoxville, Tennessee, USA",8.9,37438,"Zdobył 2 nagrody Oscar, 40 innych nagród i 82 nominacje","Pewnego razu... w Hollywood, Nienawistna ósemka, Wściekłe psy, Pulp Fiction, Kill Bill, Kill Bill 2, Sin City - Miasto grzechu, Grindhouse: Death Proof, ","""The Man from Hollywood"", ","Pewnego razu... w Hollywood, Nienawistna ósemka, Django, Bękarty wojny, Grindhouse: Death Proof, Sin City - Miasto grzechu, Kill Bill 2, Kill Bill, CSI: Kryminalne zagadki Las Vegas, Jackie Brown, Cztery pokoje, Pulp Fiction, Ostry dyżur, Wściekłe psy, Urodziny mojego najlepszego przyjaciela, Love Birds in Bondage, ",2,42,82, USA,Knoxville,1
66,Keira Knightley,26 marca 1985,"Teddington, Anglia, Wielka Brytania",8.0,60760,"Zdobyła Kryształowa Statuetka, 8 innych nagród i 38 nominacji","Piraci z Karaibów: Skrzynia umarlaka, Piraci z Karaibów: Na krańcu świata, Pokuta, Król Artur, Gra tajemnic, Duma i uprzedzenie, Anna Karenina, Nie opuszczaj mnie, ","Colette, Georgiana, Księżna Devonshire, Elizabeth Bennet, Cecilia Tallis, Anna Arkadiewna Karenina, Vera Phillips, Gretta, ","Silent Night, Niepokorna miss, W domu innego, Zakochany Berlin, Brudna gra, Colette, Dziadek do orzechów i cztery królestwa, Piraci z Karaibów: Zemsta Salazara, Red Nose Day Actually, Ukryte piękno, Everest, Jack Ryan: Teoria chaosu, Gra tajemnic, Życie nie gryzie, Zacznijmy od nowa, Once Upon a Time, Anna Karenina, Przyjaciel do końca świata, Niebezpieczna metoda, Zeszłej nocy, Nie opuszczaj mnie, Londyński bulwar, Steve, The Continuing and Lamentable Saga of the Suicide Brothers, Granice namiętności, ",91,9,38, Wielka Brytania,Teddington,0
67,Ewan McGregor,31 marca 1971,"Perth, Szkocja, Wielka Brytania",8.3,60065,"Zdobył Złoty Glob, 9 innych nagród i 31 nominacji","Moulin Rouge!, Fargo, Autor widmo, Debiutanci, Ptaki Nocy (i fantastyczna emancypacja pewnej Harley Quinn), Halston, Gwiezdne wojny: Część I - Mroczne widmo, Gwiezdne wojny III - Zemsta Sithów, ","Renton, Curt Wild, Christian, Płomyk, Młody Ed Bloom, Catcher Block, Phillip Morris, Emmit Stussy / Ray Stussy, ","Everest, Obi-Wan Kenobi, Halston, The Birthday Cake, Ptaki Nocy (i fantastyczna emancypacja pewnej Harley Quinn), Doktor Sen, Kochanek idealny, Krzysiu, gdzie jesteś?, Piękna i Bestia, T2: Trainspotting, Fargo, Czerwony punkt, Zdrajca w naszym typie, Amerykańska sielanka, Niepokonana Jane, Bezwstydny Mortdecai, Miles Davis i ja, Ostatnie dni na pustyni, The Land of Sometimes, Son of a Gun, Milion sposobów, jak zginąć na Zachodzie, Jack: Pogromca olbrzymów, Sierpień w hrabstwie Osage, Niemożliwe, The Corrections, ",154,10,31, Wielka Brytania,Perth,0
68,Christoph Waltz,4 października 1956,"Wiedeń, Austria",8.8,60248,"Zdobył 2 nagrody Oscar, 17 innych nagród i 9 nominacji","Django, Bękarty wojny, Rzeź, Wielkie oczy, Zielony Szerszeń, Most Dangerous Game, Układ idealny, Spectre, ","Dr King Schultz, Alan Cowan, August Rosenbluth, Walter Keane, Jan Tytz, uciekinier z Auschwitz, Dusan Mirkovic, Qohen Leth, Dr Dyson Ido, Cornelis Sandvoort, ","Reagan & Gorbachev, The Portable Door, Kurier Francuski z Liberty, Kansas Evening Sun, Nie czas umierać, Gilded Rage, Hiszpański romans, Most Dangerous Game, Alita: Battle Angel, Układ idealny, Tulipanowa gorączka, Pomniejszenie, Tarzan: Legenda, Spectre, Muppety: Poza prawem, Wielkie oczy, Szefowie wrogowie 2, Teoria wszystkiego, Django, Green Hornet, Woda dla słoni, Trzej muszkieterowie, Rzeź, Bękarty wojny, Das Jüngste Gericht, Todsünde, ",19,19,9, Austria,Wiedeń,1
69,Charlize Theron,7 sierpnia 1975,"Benoni, RPA",8.3,59248,"Zdobyła Oscar, 15 innych nagród i 65 nominacji","Monster, Mad Max: Na drodze gniewu, Królewna Śnieżka i Łowca, Gorący temat, Łowca i Królowa Lodu, Milion sposobów, jak zginąć na Zachodzie, Hancock, Prometeusz, ","Aileen Wuornos, Megyn Kelly, Marlo, Josey Aimes, Cesarzowa Furiosa, Sara Deever, Mary Ann Lomax, Lorraine Broughton, Gilda Bessé, Mavis Gary, ","Hancock 2, Atomic Blonde 2, The School for Good and Evil, The Old Guard 2, Szybcy i wściekli 9, Agent 13, The Old Guard, Home Movie: The Princess Bride, Niedobrani, Gorący temat, Tully, Raz się żyje, Szybcy i wściekli 8, Atomic Blonde, Łowca i Królowa Lodu, Jej twarz, Mad Max: Na drodze gniewu, Mroczny zakątek, Milion sposobów, jak zginąć na Zachodzie, Królewna Śnieżka i Łowca, Prometeusz, Kobieta na skraju dojrzałości, Droga, Hancock, Sen na jawie, ",25,16,65, RPA,Benoni,1
70,Jared Leto,26 grudnia 1971,"Bossier City, Luizjana, USA",8.1,59028,"Zdobył Oscar, 14 innych nagród i 15 nominacji","Cienka czerwona linia, Dom Gucci, Legion samobójców, Małe rzeczy, Witaj w klubie, Requiem dla snu, Podziemny krąg, Pan życia i śmierci, ","Rayon, Harry Goldfarb, Dorosły Nemo Nobody / Nemo Nobody w wieku 118 lat, Mark Chapman, Paolo Gucci, Albert Sparma, Witalij Orłow, Jack Hayes, Raymond Martinez Fernandez, Lane Dixon, ","Morbius, Adrift, WeCrashed: Upadek start-upu, Liga Sprawiedliwości Zacka Snydera, Małe rzeczy, Dom Gucci, Outsider, Blade Runner 2049, 2036: Nexus Dawn, Legion samobójców, Witaj w klubie, Mr. Nobody, Rozdział 27, Samotne serca, Pan życia i śmierci, Aleksander, Sol Goode, Azyl, Autostrada, American Psycho, Requiem dla snu, Sunset Strip, Przerwana lekcja muzyki, Podziemny krąg, Czarne i białe, ",275,15,15, USA,Bossier City,1
71,Anne Hathaway,12 listopada 1982,"Nowy Jork, Nowy Jork, USA",8.1,58640,"Zdobyła Oscar, 16 innych nagród i 41 nominacji","Nędznicy, Mroczny Rycerz powstaje, Miłość i inne używki, Ślubne wojny, Rachel wychodzi za mąż, Tajemnica Brokeback Mountain, Interstellar, Diabeł ubiera się u Prady, ","Emma Morley, Fantine, Maggie Murdock, Jane Austen, Jules, Linda, Allison, Kym, Franny Ellis, Andrea 'Andy' Sachs, ","Get Happy: The Life of Judy Garland, Sesame Street, She Came to Me, WeCrashed: Upadek start-upu, Armageddon Time, Skazani na siebie, Solówki, Jego ostatnie życzenie, Wiedźmy, Oszustki, Przynęta, Nowoczesna miłość, Mroczne wody, Ocean's 8, Alicja po drugiej stronie lustra, Monstrum, Praktykant, Interstellar, Siła muzyki, Don Peyote, Don Jon, Mroczny Rycerz powstaje, Les Misérables: Nędznicy, Jeden dzień, Alicja w Krainie Czarów, ",69,17,41, USA,Nowy Jork,1
72,Jim Carrey,17 stycznia 1962,"Newmarket, Kanada",8.5,56195,"Zdobył 2 nagrody Złoty Glob, 21 innych nagród i 50 nominacji","Truman Show, Bruce Wszechmogący, Głupi i głupszy, Ace Ventura: Zew natury, Maska, Ace Ventura: Psi detektyw, Jestem na tak, Grinch: świąt nie będzie, ","Andy Kaufman, Jeff / Pan Pickles, Hrabia Olaf, Joel Barish, Ace Ventura, Ace Ventura, Fletcher Reede, Bruce Nolan, ","Sonic 2: Szybki jak błyskawica, Kidding, Sonic. Szybki jak błyskawica, Outsiderka, Prawdziwe zbrodnie, Głupi i głupszy bardziej, Kids, Niewiarygodny Burt Wonderstone, Kick-Ass 2, Legenda telewizji 2: Kontynuacja, Pan Popper i jego pingwiny, Presidential Reunion, I Love You Phillip Morris, Jestem na tak, Numer 23, Dick i Jane: Niezły ubaw, Zakochany bez pamięci, Lemony Snicket: Seria niefortunnych zdarzeń, Bruce Wszechmogący, Pecan Pie, Majestic, Grinch: świąt nie będzie, Ja, Irena i Ja, Człowiek z księżyca, Simon Birch, ",77,23,50, Kanada,Newmarket,0
73,Michael Caine,14 marca 1933,"Londyn, Anglia, Wielka Brytania",8.2,56731,"Zdobył 2 nagrody Oscar, 10 innych nagród i 33 nominacje","Młodość, Wbrew regułom, Hannah i jej siostry, Edukacja Rity, Spokojny Amerykanin, Krew i wino, Kuba Rozpruwacz, O mały głos, ","Milo Tindle, Matthew Morgan, Fred Ballinger, Andrew Wyke, Joe Harding, Dr Wilbur Larch, Harry Brown, ","Jan Žižka, Twist, Best Sellers, Tenet, Piotruś Pan i Alicja w Krainie Czarów, Dear Dictator, Król złodziei, W starym, dobrym stylu, Iluzja 2, Młodość, Łowca czarownic, Obłąkani, Interstellar, Kingsman: Tajne służby, Ostatnia miłość pana Morgana, Iluzja, Mroczny Rycerz powstaje, Podróż na Tajemniczą Wyspę, Incepcja, Harry Brown, Mroczny Rycerz, Czy ktoś tam jest?, Plan bez skazy, Pojedynek, Prestiż, ",177,12,33, Wielka Brytania,Londyn,1
74,Janusz Gajos,23 września 1939,"Dąbrowa Górnicza, Polska",8.6,56347,"Zdobył 5 nagród Orzeł, 14 innych nagród i 15 nominacji","Kler, Body/Ciało, Przesłuchanie, Jasminum, Fuks, Ucieczka z kina ""Wolność"", To ja, złodziej, Milioner, ","Bohater, Cenzor Rabkiewicz, Major Zawada ""Kąpielowy"", Bazyli Miotke, Michał Szmańda, Andrzej Hoffman, Brat Zdrówko, Jan Laguna, Gross ""Siwy"", Arcybiskup Mordowicz, ","Fuks 2, Bez skrupułów, Król, Solid Gold, Kamerdyner, Kler, Najlepszy, Konwój, Zaćma, Operation H²O, Body/Ciało, Układ zamknięty, Bez tajemnic, Wygrany, Mniejsze zło, Ekipa, Jasminum, PitBull, Zakochany Anioł, Solidarność, Solidarność..., PitBull, Chopin. Pragnienie miłości, Zemsta, Przedwiośnie, Przedwiośnie, ",46,19,15, Polska,Dąbrowa Górnicza,0
75,Nicolas Cage,7 stycznia 1964,"Long Beach, Kalifornia, USA",7.6,55080,"Zdobył Oscar, 10 innych nagród i 35 nominacji","Zostawić Las Vegas, Twierdza, Bez twarzy, Adaptacja, Next, Polowanie na czarownice, Ghost Rider, Miasto aniołów, ","Ben Sanderson, Nick Cage / Nicky, Sailor Ripley, Jurij Orłow, Peter Loew, Castor Troy / Sean Archer, Al Columbato, Roy Waller, Charlie Kaufman / Donald Kaufman, Robin Feld, ","Renfield, Nieznośny ciężar wielkiego talentu, The Old Ways, The Retirement Plan, Więźniowie Ghostland, Niewesołe miasteczko, Świnia, Jiu Jitsu, Czas rozliczenia, Instynkt pierwotny, Domino śmierci, Kolor z przestworzy, W środku burzy, Podróże z diabłem, Zwierciadło, Kod 211, Mandy, Powrót z zaświatów, Historia zemsty, Pakt krwi, Manipulacja, Mama i tata, Biuro ludzkości, Snowden, Ostatnia misja USS Indianapolis, ",,11,35, USA,Long Beach,1
76,Julianne Moore,3 grudnia 1960,"Fayetteville, Karolina Północna, USA",8.1,56254,"Zdobyła Oscar, 38 innych nagród i 51 nominacji","Motyl Still Alice, Godziny, Boogie Nights, Daleko od nieba, Magnolia, Zmiana w grze, Mapy gwiazd, Na skróty, ","Alice Howland, Laura Brown, Cathy Whitaker, Sarah Palin, Laurel Hester, Havana Segrand, Gloria, Charley, Barbara Daly Baekeland, Amber Waves, ","When You Finish Saving the World, Kobieta w oknie, Historia Lisey, Drogi Evanie Hansenie, Gloria Steinem. Moje życie w drodze, Mothertrucker, Tuż po weselu, The Staggering Girl, Bel Canto, Gloria Bell, Kingsman: Złoty Krąg, Suburbicon, Wonderstruck, Igrzyska śmierci: Kosogłos. Część 2, Plan Maggie, Tytuł do praw, Siódmy syn, Non-Stop, Mapy gwiazd, Igrzyska śmierci: Kosogłos. Część 1, Motyl Still Alice, 9 Kisses, Nauczycielka angielskiego, Don Jon, Carrie, ",75,39,51, USA,Fayetteville,1
77,Bogusław Linda,27 czerwca 1952,"Toruń, Polska",8.1,55555,"Zdobył 3 nagrody Złota Kaczka, 5 innych nagród i 13 nominacji","Psy, Tato, Kroll, Przypadek, Demony wojny wg Goi, Sezon na leszcza, Kobieta samotna, Gorączka, ","Jacek Grochala, Michał Sulecki, Witek Długosz, Porucznik Arek, Ivan Sekal, Bolko, syn Hansa Heinricha, Major Edward Keller, dowódca kompanii, Louis Antoine Saint-Just, ","Odwilż, Psy 3. W imię zasad, Diablo. Wyścig o wszystko, Planeta Singli 3, Czarny Mercedes, Kobiety mafii, Kobiety mafii, Ach śpij kochanie, Pitbull. Nowe porządki, Powidoki, Paradoks, 1920 Bitwa Warszawska, Sztos 2, Mika i Alfred, Randka w ciemno, Trzy minuty. 21:37, Kajinek, Ratownicy, Prawo miasta, I kto tu rządzi?, Jasminum, Letnia miłość, Jasne błękitne okna, Czas surferów, Dziki 2. Pojedynek, ",282,8,13, Polska,Toruń,0
78,Eddie Redmayne,6 stycznia 1982,"Londyn, Anglia, Wielka Brytania",8.7,55980,"Zdobył Oscar, 5 innych nagród i 26 nominacji","Teoria wszystkiego, Nędznicy, Jupiter: Intronizacja, Proces Siódemki z Chicago, Dziewczyna z portretu, Fantastyczne zwierzęta i jak je znaleźć, Kochanice króla, Fantastyczne zwierzęta: Zbrodnie Grindelwalda, ","Stephen Hawking, Einar Wegener / Lili Elbe, Jack, Eddie Kreezer, Stephen Wraysford, Marius, Tony Baekeland, ","Fantastyczne zwierzęta: Tajemnice Dumbledore'a, Proces Siódemki z Chicago, The Aeronauts, Fantastyczne zwierzęta: Zbrodnie Grindelwalda, Fantastyczne zwierzęta i jak je znaleźć, Jupiter: Intronizacja, Dziewczyna z portretu, Teoria wszystkiego, Les Misérables: Nędznicy, Wojna i miłość, Mój tydzień z Marilyn, Prowincjuszka, The Miraculous Year, Czarna śmierć, Filary Ziemi, Błękitny deszcz, Wspaniały rok 1939, Kochanice króla, The Yellow Handkerchief, Tess D'Urbervilles, Elizabeth: Złoty wiek, Uwikłani, Like Minds, Dobry agent, Elżbieta I, ",38,6,26, Wielka Brytania,Londyn,1
79,Arkadiusz Jakubik,14 stycznia 1969,"Strzelce Opolskie, Polska",8.4,53397,"Zdobył 4 nagrody Orzeł, 5 innych nagród i 19 nominacji","Wołyń, Drogówka, Dom zły, Chce się żyć, Cicha noc, Jestem mordercą, Wesele, Prosta historia o miłości, ","Edward Środoń, Notariusz Jan Janocha, Ksiądz Andrzej Kukuła, Wiesław Kalicki, Maciej Skiba, Arek Gruz, Psycholog więzienny Rafał Wejman, Paweł Rosiński, Kierownik basenu, Sierżant sztabowy Bogdan Petrycki, ","Informacja zwrotna, Klangor, Wesele, Czarna owca, Król, Psy 3. W imię zasad, W głębi lasu, Jak najdalej stąd, Żywioły Saszy – Ogień, Saszka, Kler, Sztuka kochania. Historia Michaliny Wisłockiej, Najlepszy, Człowiek z magicznym pudełkiem, Ach śpij kochanie, Ksiądz, Cicha noc, Wołyń, Jestem mordercą, Performer, Carte Blanche, Ziarno prawdy, Czeski Błąd, Pod Mocnym Aniołem, Kochanie, chyba cię zabiłem, ",96,9,19, Polska,Strzelce Opolskie,0
80,Orlando Bloom,13 stycznia 1977,"Canterbury, Anglia, Wielka Brytania",8.3,55275,"Zdobył Nagroda Filmwebu, 8 innych nagród i 16 nominacji","Piraci z Karaibów: Skrzynia umarlaka, Władca Pierścieni: Drużyna Pierścienia, Władca Pierścieni: Powrót króla, Piraci z Karaibów: Na krańcu świata, Hobbit: Bitwa Pięciu Armii, Królestwo niebieskie, Hobbit 2: Pustkowie Smauga, Władca Pierścieni: Dwie wieże, ","Malky, Brian Epkeen, ","Igła w stogu czasu, Carnival Row, Kamdesh. Afgańskie piekło, Tożsamość zdrajcy, Piraci z Karaibów: Zemsta Salazara, Gniew, Tour de doping, Szanghajska robota, Idea in America, Easy, Nie igraj z ogniem, Hobbit: Bitwa Pięciu Armii, Zulu, Hobbit: Pustkowie Smauga, Dobry doktor, Trzej muszkieterowie, Fight For Your Right Revisited, Główna ulica, Uzdrowiciel na wózku, Zakochany Nowy Jork, Piraci z Karaibów: Na krańcu świata, Piraci z Karaibów: Skrzynia umarlaka, Miłość i inne nieszczęścia, Elizabethtown, Królestwo niebieskie, ",150,9,16, Wielka Brytania,Canterbury,0
81,Maciej Stuhr,23 czerwca 1975,"Kraków, Polska",7.4,52350,,"Pokłosie, Bad Boy, 33 sceny z życia, Sala samobójców. Hejter, Obława, Śluby panieńskie, Obywatel, Przedwiośnie, ","Alek Malinowski, Tomek Wilczyński, Paweł Zawadzki, Józef Kalina, brat Franciszka, Mikołaj Konieczny, Kuba Brenner, Tomek Wilczyński, Podkomisarz Artur Banaś, Henryk Kondolewicz, Mikołaj Konieczny, ","Fucking Bornholm, Fuks 2, Szadź, Powrót do tamtych dni, Sala samobójców. Hejter, Bad Boy, Bad Boy, Na bank się uda, Planeta Singli 3, Pisarze. Serial na krótko, Polityka, II koncert na wiolonczelę i orkiestrę, Polityka, Juliusz, Planeta Singli 2, Belfer, Czerwony kapitan, Planeta Singli, Listy do M. 2, Excentrycy, czyli po słonecznej stronie ulicy, Facet (nie)potrzebny od zaraz, Obywatel, Bezsenność, Drogówka, Wałęsa. Człowiek z nadziei, ",,,, Polska,Kraków,0
